#Incident Continuum, Enr	nFn 
2.89607e-08	3.152e-11
2.91058e-08	3.200e-11
2.92517e-08	3.248e-11
2.93983e-08	3.297e-11
2.95457e-08	3.347e-11
2.96937e-08	3.398e-11
2.98426e-08	3.449e-11
2.99921e-08	3.501e-11
3.01424e-08	3.554e-11
3.02935e-08	3.608e-11
3.04453e-08	3.662e-11
3.05979e-08	3.717e-11
3.07513e-08	3.774e-11
3.09054e-08	3.831e-11
3.10603e-08	3.888e-11
3.12160e-08	3.947e-11
3.13724e-08	4.007e-11
3.15296e-08	4.067e-11
3.16877e-08	4.129e-11
3.18465e-08	4.191e-11
3.20061e-08	4.255e-11
3.21665e-08	4.319e-11
3.23277e-08	4.384e-11
3.24897e-08	4.450e-11
3.26526e-08	4.518e-11
3.28162e-08	4.586e-11
3.29807e-08	4.655e-11
3.31460e-08	4.726e-11
3.33121e-08	4.797e-11
3.34790e-08	4.869e-11
3.36468e-08	4.943e-11
3.38155e-08	5.018e-11
3.39849e-08	5.093e-11
3.41553e-08	5.170e-11
3.43265e-08	5.249e-11
3.44985e-08	5.328e-11
3.46714e-08	5.408e-11
3.48452e-08	5.490e-11
3.50198e-08	5.573e-11
3.51953e-08	5.657e-11
3.53717e-08	5.743e-11
3.55490e-08	5.829e-11
3.57271e-08	5.918e-11
3.59062e-08	6.007e-11
3.60862e-08	6.098e-11
3.62670e-08	6.190e-11
3.64488e-08	6.283e-11
3.66315e-08	6.378e-11
3.68150e-08	6.475e-11
3.69996e-08	6.573e-11
3.71850e-08	6.672e-11
3.73714e-08	6.773e-11
3.75587e-08	6.875e-11
3.77469e-08	6.979e-11
3.79361e-08	7.084e-11
3.81262e-08	7.191e-11
3.83173e-08	7.300e-11
3.85093e-08	7.410e-11
3.87023e-08	7.522e-11
3.88963e-08	7.636e-11
3.90912e-08	7.751e-11
3.92872e-08	7.868e-11
3.94841e-08	7.987e-11
3.96820e-08	8.108e-11
3.98808e-08	8.230e-11
4.00807e-08	8.355e-11
4.02816e-08	8.481e-11
4.04835e-08	8.609e-11
4.06864e-08	8.739e-11
4.08903e-08	8.871e-11
4.10952e-08	9.005e-11
4.13012e-08	9.141e-11
4.15082e-08	9.280e-11
4.17162e-08	9.420e-11
4.19253e-08	9.562e-11
4.21354e-08	9.707e-11
4.23466e-08	9.853e-11
4.25588e-08	1.000e-10
4.27721e-08	1.015e-10
4.29865e-08	1.031e-10
4.32019e-08	1.046e-10
4.34184e-08	1.062e-10
4.36360e-08	1.078e-10
4.38547e-08	1.094e-10
