|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.4587745488 
 0.00954607312885     -19.4667185872 
  0.0100150361675     -19.4728031031 
  0.0105069542359     -19.4765825823 
  0.0110229604558     -19.4779045172 
  0.0115643165086     -19.4769287743 
  0.0121324476219     -19.4738596016 
  0.0127272086715      -19.468628422 
  0.0133519141521     -19.4609834086 
  0.0140087339105     -19.4515591519 
  0.0146955029976     -19.4403952099 
  0.0154190886782     -19.4277903876 
  0.0161744433951     -19.4129945219 
   0.016969611562     -19.3949441794 
  0.0178051610176     -19.3735514512 
  0.0186773548039     -19.3498038511 
    0.01959716432     -19.3242558066 
  0.0205564660699     -19.2984416464 
  0.0215684767072     -19.2765659484 
  0.0226289580551     -19.2556016792 
  0.0237371227111     -19.2305780482 
  0.0249048412375     -19.2064858919 
  0.0261258067913     -19.1864318897 
   0.027406560628     -19.1652065738 
  0.0287557002487     -19.1393482408 
  0.0301644535214     -19.1107179973 
  0.0316522452546     -19.0850624405 
  0.0332094803528      -19.066857518 
  0.0348344090551     -19.0456528811 
  0.0365530742431     -19.0164174871 
  0.0383369011729     -18.9891030324 
  0.0402325890013     -18.9696237851 
   0.042207880541     -18.9537060732 
   0.044279307137     -18.9405129624 
  0.0464458787401     -18.9297737004 
  0.0487309166246     -18.9213187393 
  0.0511373816431     -18.9168400958 
  0.0536355586157     -18.9191712183 
  0.0562511198074      -18.922553355 
  0.0590199573109     -18.9256616264 
  0.0619488878912     -18.9267321011 
  0.0649513999202     -18.9265634837 
  0.0681576769544     -18.9268645194 
  0.0715281115291     -18.9266517239 
  0.0750014930766      -18.926739982 
  0.0786932764145     -18.9278573662 
  0.0825424040652     -18.9299896196 
  0.0866224468517     -18.9326529656 
   0.090854251334     -18.9372162185 
  0.0953508570556       -18.94127343 
   0.100029433686     -18.9475196629 
   0.104948536322     -18.9549523189 
   0.110096428764     -18.9613760107 
    0.11551123601     -18.9673800547 
   0.121179274053     -18.9743028137 
   0.127130041975      -18.981337713 
   0.133382339122     -18.9881923728 
   0.139936753821     -18.9963875604 
   0.146789326817     -19.0056637537 
   0.154008474038     -19.0166927287 
   0.161572365404     -19.0293644968 
   0.169506722634     -19.0443759422 
   0.177843118829     -19.0610035999 
   0.186582338428     -19.0772020485 
   0.195719102423     -19.0985837363 
   0.205333064642     -19.1291160977 
   0.215429820539      -19.164844525 
   0.226008963512     -19.2090004156 
   0.237124158439     -19.2499149042 
   0.248776451237     -19.2672246763 
    0.26095880323     -19.2706353395 
   0.273818551947     -19.2733777552 
   0.287285038108     -19.2757307929 
   0.301345284683     -19.2778082585 
   0.316192970465     -19.2794225213 
   0.331732122636      -19.278898779 
   0.347945070974     -19.2772274592 
   0.365091402596      -19.274550925 
   0.383046717478     -19.2715691735 
    0.40179371291     -19.2719738428 
   0.421493127142     -19.2755073001 
   0.442148539971     -19.2785446529 
   0.463985815112     -19.2818079156 
   0.486788536795     -19.2879803373 
   0.510514364639     -19.2970946018 
   0.535724950547      -19.308791387 
   0.562164183146      -19.321651273 
   0.589817566913     -19.3330794721 
   0.618647753483     -19.3500845134 
   0.649051382393     -19.3732318559 
   0.681067369866      -19.404337825 
   0.714159985016     -19.4516351548 
   0.749398142171     -19.6669476013 
   0.786253788507     -19.7374132803 
    0.82467705057     -19.8682709063 
   0.828870158431     -19.8930473637 
    0.83292336881     -19.9113884089 
   0.836970288381     -19.9300472691 
   0.841025676388     -19.9490227977 
   0.845073531183     -19.9683460926 
   0.849128888798     -19.9877753433 
   0.853175426116     -20.0065280907 
   0.857228458835     -20.0244716753 
   0.861279479869     -20.0431421454 
   0.865401843191      -20.062565278 
   0.869580453919     -20.0966710267 
   0.873833129608      -20.127735002 
   0.878076836462     -20.1559794635 
   0.882327789388     -20.1852813477 
   0.886576972204     -20.2157871697 
   0.888175575907     -20.1959856979 
   0.890832444601      -20.213242686 
   0.895085004008     -20.2430183648 
   0.899333978979     -20.2708187433 
    0.90357868626     -20.2996120551 
   0.907637590518      -20.329522567 
   0.912289905574     -20.3870381964 
   0.916748463193     -20.4405682643 
    0.92120797493     -20.4898674775 
   0.925666889344     -20.5440854856 
   0.930125505376      -20.604556581 
   0.934584146158     -20.6730687598 
    0.93703664872     -20.6980433358 
    0.93904315945     -20.7255821983 
   0.943501941199     -20.7929299248 
   0.947960861964     -20.8706295137 
   0.952412354599     -20.9628910984 
   0.953132583338     -20.9821009541 
   0.953845914826     -21.0026921584 
   0.954559314931     -21.0230796482 
   0.955272781563     -21.0432605482 
   0.955986312626     -21.0632199692 
   0.956699906017     -21.0829557515 
   0.957412553732     -21.1024560868 
   0.958126263945     -21.1217127272 
   0.958840030135     -21.1407204237 
   0.959532632284     -21.1487705578 
   0.960772926701     -21.1795720485 
   0.961993073661      -21.209357037 
   0.963213269279     -21.2382622902 
   0.964433502118     -21.2662527599 
   0.965653760682      -21.293295346 
   0.966874033416     -21.3193596731 
   0.968094308707     -21.3444186985 
   0.969314574882     -21.3684496971 
   0.970534820211     -21.3914326781 
   0.971708403583     -21.4061988707 
   0.972494446226      -21.418746347 
   0.973233946237     -21.4309042715 
   0.973973530764     -21.4426701889 
   0.974713197627     -21.4540453909 
    0.97545190048     -21.4650302024 
   0.976191723859     -21.4756260283 
   0.976931622988     -21.4858362739 
   0.977670546744     -21.4956636596 
    0.97841058915     -21.5051124964 
   0.979121243022     -21.5089897829 
   0.979627529517     -21.5145531054 
   0.980105877163     -21.5200021295 
   0.980583637013     -21.5253013952 
   0.981061862866      -21.530452592 
   0.981540555404      -21.535457968 
   0.982018657046     -21.5403180498 
   0.982496165382     -21.5450355183 
   0.982974138322     -21.5496116463 
   0.983452576546      -21.554049812 
   0.983878364155     -21.5543284295 
   0.984254553004     -21.5571176289 
   0.984578901291     -21.5598709188 
   0.984902398931     -21.5625647778 
   0.985227174409     -21.5651979852 
   0.985551098258       -21.56777373 
   0.985875235177     -21.5702909865 
   0.986199585377     -21.5727518596 
   0.986524149068     -21.5751554995 
   0.986847857763     -21.5775030743 
   0.987182473058     -21.5765348327 
   0.987408172467     -21.5781544132 
   0.987643608792     -21.5797482654 
   0.987880228349     -21.5813157128 
   0.988115889867     -21.5828543197 
   0.988351663847     -21.5843658937 
    0.98858755037     -21.5858503341 
   0.988823549516     -21.5873072426 
   0.989059661366     -21.5887385827 
   0.989294811997     -21.5901431043 
    0.98954081972     -21.5887862393 
   0.999197522895     -21.6261089475 
    1.04395479537     -21.6335152391 
    1.09514258007     -21.6417364627 
    1.14899526022     -21.6468753809 
    1.20538113873     -21.6525495148 
    1.26459636536     -21.6588121078 
    1.32663872599     -21.6638932792 
    1.39188657535     -21.6672476639 
    1.46013161493     -21.6723204937 
    1.53205807142     -21.6786560092 
    1.60717485164     -21.6871258071 
     1.6862844946     -21.6950280249 
    1.76910918439     -21.7039043124 
    1.85594326045      -21.711111322 
    1.94715414718     -21.7106815277 
    2.04274409523     -21.7125193902 
    2.14315178946     -21.7153803191 
    2.24837932613     -21.7176659059 
    2.35835440186     -21.7155843321 
     2.4742550662     -21.7064826805 
    2.59620552957     -21.6901591503 
    2.72345529253     -21.6648984765 
    2.85753571929     -21.6349032678 
    2.99759256868     -21.8600247688 
    3.14447253582     -21.9007894307 
    3.29930536162     -21.9664367252 
    3.31548666511     -21.9783699837 
    3.33168129426     -21.9865153691 
    3.34788730337     -21.9948541262 
    3.36409028644     -22.0033452978 
    3.38030039424     -22.0120309626 
    3.39650289561     -22.0215539323 
    3.41270809476     -22.0321390611 
    3.42891383534     -22.0433386735 
    3.44511791947       -22.05491607 
    3.46095002233     -22.0668460998 
    3.47832181568     -22.0816126998 
    3.49531911151     -22.0944745925 
    3.51232088341     -22.1077224218 
    3.52932482651     -22.1213104086 
    3.54632859025     -22.1353743149 
    3.55408791295     -22.0289271124 
     3.5633297784     -22.0340917291 
    3.58032594906      -22.044614526 
    3.59732881548     -22.0559206548 
    3.61432191269     -22.0676507621 
    3.63199737298     -22.0796316412 
     3.6491596223     -22.0894808348 
    3.66700123088     -22.1025155258 
    3.68482444968     -22.1161687152 
    3.70267131855      -22.130378302 
    3.72049442654     -22.1454142112 
    3.73833658463      -22.161167506 
    3.74853204805     -22.1057846445 
     3.7561648965     -22.1117027504 
     3.7740077648     -22.1254990635 
    3.79184739238     -22.1400236738 
     3.8096494184     -22.1551384276 
    3.81253432104      -22.144727717 
    3.81539164663     -22.1470894347 
    3.81823725972     -22.1494737631 
    3.82108712065     -22.1518785177 
    3.82394123891     -22.1543016657 
    3.82679962407     -22.1567457895 
    3.82964619136     -22.1592111185 
    3.83249699664     -22.1616954293 
     3.8353520494     -22.1641970079 
    3.83853471306      -22.124169112 
    3.84309981056      -22.128059405 
    3.84796823248     -22.1318725491 
    3.85284900464     -22.1357280369 
    3.85774217409     -22.1396203251 
    3.86261504273     -22.1435524152 
    3.86750023716     -22.1475199552 
    3.87238134869     -22.1515260945 
    3.87725829953     -22.1555667722 
    3.88213101161     -22.1596423191 
    3.88766271707     -22.1333105109 
    3.88996948224     -22.1357503556 
