|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.3917845402 
 0.00954607312885     -19.3997285786 
  0.0100150361675     -19.4058130945 
  0.0105069542359     -19.4095925737 
  0.0110229604558     -19.4109145086 
  0.0115643165086     -19.4099387657 
  0.0121324476219     -19.4068695931 
  0.0127272086715     -19.4016384134 
  0.0133519141521     -19.3939934001 
  0.0140087339105     -19.3845691433 
  0.0146955029976     -19.3734052013 
  0.0154190886782      -19.360800379 
  0.0161744433951     -19.3460045133 
   0.016969611562     -19.3279541708 
  0.0178051610176     -19.3065614426 
  0.0186773548039     -19.2828138425 
    0.01959716432     -19.2572657981 
  0.0205564660699     -19.2314516378 
  0.0215684767072     -19.2095759398 
  0.0226289580551     -19.1886116706 
  0.0237371227111     -19.1635880396 
  0.0249048412375     -19.1394958833 
  0.0261258067913     -19.1194418811 
   0.027406560628     -19.0982165652 
  0.0287557002487     -19.0723582322 
  0.0301644535214     -19.0437279887 
  0.0316522452546     -19.0180724319 
  0.0332094803528     -18.9998675094 
  0.0348344090551     -18.9786628725 
  0.0365530742431     -18.9494274785 
  0.0383369011729     -18.9221130238 
  0.0402325890013     -18.9026337766 
   0.042207880541     -18.8867160646 
   0.044279307137     -18.8735229538 
  0.0464458787401     -18.8627836918 
  0.0487309166246     -18.8543287307 
  0.0511373816431     -18.8498500872 
  0.0536355586157     -18.8521812097 
  0.0562511198074     -18.8555633464 
  0.0590199573109     -18.8586716179 
  0.0619488878912     -18.8597420925 
  0.0649513999202     -18.8595734751 
  0.0681576769544     -18.8598745109 
  0.0715281115291     -18.8596617153 
  0.0750014930766     -18.8597499734 
  0.0786932764145     -18.8608673576 
  0.0825424040652      -18.862999611 
  0.0866224468517      -18.865662957 
   0.090854251334     -18.8702262099 
  0.0953508570556     -18.8742834214 
   0.100029433686     -18.8805296543 
   0.104948536322     -18.8879623103 
   0.110096428764     -18.8943860021 
    0.11551123601     -18.9003900462 
   0.121179274053     -18.9073128051 
   0.127130041975     -18.9143477044 
   0.133382339122     -18.9212023642 
   0.139936753821     -18.9293975518 
   0.146789326817     -18.9386737451 
   0.154008474038     -18.9497027201 
   0.161572365404     -18.9623744882 
   0.169506722634     -18.9773859336 
   0.177843118829     -18.9940135913 
   0.186582338428     -19.0102120399 
   0.195719102423     -19.0315937278 
   0.205333064642     -19.0621260891 
   0.215429820539     -19.0978545164 
   0.226008963512      -19.142010407 
   0.237124158439     -19.1829248956 
   0.248776451237     -19.2002346678 
    0.26095880323     -19.2036453309 
   0.273818551947     -19.2063877466 
   0.287285038108     -19.2087407843 
   0.301345284683       -19.21081825 
   0.316192970465     -19.2124325127 
   0.331732122636     -19.2119087704 
   0.347945070974     -19.2102374506 
   0.365091402596     -19.2075609164 
   0.383046717478      -19.204579165 
    0.40179371291     -19.2049838342 
   0.421493127142     -19.2085172915 
   0.442148539971     -19.2115546443 
   0.463985815112     -19.2148179071 
   0.486788536795     -19.2209903287 
   0.510514364639     -19.2301045932 
   0.535724950547     -19.2418013784 
   0.562164183146     -19.2546612644 
   0.589817566913     -19.2660894635 
   0.618647753483     -19.2830945049 
   0.649051382393     -19.3062418473 
   0.681067369866     -19.3373478165 
   0.714159985016     -19.3846451462 
   0.749398142171     -19.5999575927 
   0.786253788507     -19.6704232717 
    0.82467705057     -19.8012808977 
   0.828870158431     -19.8260573551 
    0.83292336881     -19.8443984003 
   0.836970288381     -19.8630572606 
   0.841025676388     -19.8820327891 
   0.845073531183      -19.901356084 
   0.849128888798     -19.9207853347 
   0.853175426116     -19.9395380822 
   0.857228458835     -19.9574816667 
   0.861279479869     -19.9761521368 
   0.865401843191     -19.9955752695 
