|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.1406933078 
 0.00954607312885     -19.1486373462 
  0.0100150361675     -19.1547218621 
  0.0105069542359     -19.1585013413 
  0.0110229604558     -19.1598232762 
  0.0115643165086     -19.1588475333 
  0.0121324476219     -19.1557783606 
  0.0127272086715      -19.150547181 
  0.0133519141521     -19.1429021676 
  0.0140087339105     -19.1334779109 
  0.0146955029976     -19.1223139689 
  0.0154190886782     -19.1097091466 
  0.0161744433951     -19.0949132809 
   0.016969611562     -19.0768629384 
  0.0178051610176     -19.0554702102 
  0.0186773548039     -19.0317226101 
    0.01959716432     -19.0061745656 
  0.0205564660699     -18.9803604054 
  0.0215684767072     -18.9584847074 
  0.0226289580551     -18.9375204382 
  0.0237371227111     -18.9124968072 
  0.0249048412375     -18.8884046509 
  0.0261258067913     -18.8683506487 
   0.027406560628     -18.8471253328 
  0.0287557002487     -18.8212669998 
  0.0301644535214     -18.7926367563 
  0.0316522452546     -18.7669811995 
  0.0332094803528      -18.748776277 
  0.0348344090551     -18.7275716401 
  0.0365530742431     -18.6983362461 
  0.0383369011729     -18.6710217914 
  0.0402325890013     -18.6515425441 
   0.042207880541     -18.6356248322 
   0.044279307137     -18.6224317214 
  0.0464458787401     -18.6116924594 
  0.0487309166246     -18.6032374983 
  0.0511373816431     -18.5987588548 
  0.0536355586157     -18.6010899773 
  0.0562511198074      -18.604472114 
  0.0590199573109     -18.6075803854 
  0.0619488878912     -18.6086508601 
  0.0649513999202     -18.6084822427 
  0.0681576769544     -18.6087832784 
  0.0715281115291     -18.6085704829 
  0.0750014930766      -18.608658741 
  0.0786932764145     -18.6097761252 
  0.0825424040652     -18.6119083786 
  0.0866224468517     -18.6145717246 
   0.090854251334     -18.6191349775 
  0.0953508570556      -18.623192189 
   0.100029433686     -18.6294384219 
   0.104948536322     -18.6368710779 
   0.110096428764     -18.6432947697 
    0.11551123601     -18.6492988138 
   0.121179274053     -18.6562215727 
   0.127130041975      -18.663256472 
   0.133382339122     -18.6701111318 
   0.139936753821     -18.6783063194 
   0.146789326817     -18.6875825127 
   0.154008474038     -18.6986114877 
   0.161572365404     -18.7112832558 
   0.169506722634     -18.7262947012 
   0.177843118829     -18.7429223589 
   0.186582338428     -18.7591208075 
   0.195719102423     -18.7805024953 
   0.205333064642     -18.8110348567 
   0.215429820539      -18.846763284 
   0.226008963512     -18.8909191746 
   0.237124158439     -18.9318336632 
   0.248776451237     -18.9491434353 
    0.26095880323     -18.9525540985 
   0.273818551947     -18.9552965142 
   0.287285038108     -18.9576495519 
   0.301345284683     -18.9597270175 
   0.316192970465     -18.9613412803 
   0.331732122636      -18.960817538 
   0.347945070974     -18.9591462182 
   0.365091402596      -18.956469684 
   0.383046717478     -18.9534879325 
    0.40179371291     -18.9538926018 
   0.421493127142     -18.9574260591 
   0.442148539971     -18.9604634119 
   0.463985815112     -18.9637266746 
   0.486788536795     -18.9698990963 
   0.510514364639     -18.9790133608 
   0.535724950547      -18.990710146 
   0.562164183146      -19.003570032 
   0.589817566913     -19.0149982311 
   0.618647753483     -19.0320032725 
   0.649051382393     -19.0551506149 
   0.681067369866      -19.086256584 
   0.714159985016     -19.1335539138 
   0.749398142171     -19.3488663603 
   0.786253788507     -19.4193320393 
    0.82467705057     -19.5501896653 
   0.828870158431     -19.5749661227 
    0.83292336881     -19.5933071679 
   0.836970288381     -19.6119660281 
   0.841025676388     -19.6309415567 
   0.845073531183     -19.6502648516 
   0.849128888798     -19.6696941023 
   0.853175426116     -19.6884468497 
   0.857228458835     -19.7063904343 
   0.861279479869     -19.7250609044 
   0.865401843191      -19.744484037 
   0.869580453919     -19.7785897857 
   0.873833129608      -19.809653761 
   0.878076836462     -19.8378982226 
   0.882327789388     -19.8672001067 
   0.886576972204     -19.8977059287 
   0.888175575907     -19.8779044569 
   0.890832444601      -19.895161445 
   0.895085004008     -19.9249371238 
   0.899333978979     -19.9527375023 
    0.90357868626     -19.9815308141 
   0.907637590518     -20.0114413261 
   0.912289905574     -20.0689569554 
   0.916748463193     -20.1224870233 
    0.92120797493     -20.1717862365 
   0.925666889344     -20.2260042446 
   0.930125505376       -20.28647534 
   0.934584146158     -20.3549875188 
    0.93703664872     -20.3799620948 
    0.93904315945     -20.4075009573 
   0.943501941199     -20.4748486838 
   0.947960861964     -20.5525482727 
   0.952412354599     -20.6448098574 
   0.953132583338     -20.6640197131 
   0.953845914826     -20.6846109174 
   0.954559314931     -20.7049984072 
   0.955272781563     -20.7251793072 
   0.955986312626     -20.7451387282 
   0.956699906017     -20.7648745105 
   0.957412553732     -20.7843748458 
   0.958126263945     -20.8036314862 
   0.958840030135     -20.8226391827 
   0.959532632284     -20.8306893168 
   0.960772926701     -20.8614908075 
   0.961993073661      -20.891275796 
   0.963213269279     -20.9201810492 
   0.964433502118     -20.9481715189 
   0.965653760682      -20.975214105 
   0.966874033416     -21.0012784321 
   0.968094308707     -21.0263374575 
   0.969314574882     -21.0503684561 
   0.970534820211     -21.0733514371 
   0.971708403583     -21.0881176297 
   0.972494446226      -21.100665106 
   0.973233946237     -21.1128230305 
   0.973973530764     -21.1245889479 
   0.974713197627     -21.1359641499 
    0.97545190048     -21.1469489614 
   0.976191723859     -21.1575447873 
   0.976931622988     -21.1677550329 
   0.977670546744     -21.1775824186 
    0.97841058915     -21.1870312554 
   0.979121243022     -21.1909085419 
   0.979627529517     -21.1964718644 
   0.980105877163     -21.2019208885 
   0.980583637013     -21.2072201542 
