|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.1015468528 
 0.00954607312885     -19.1094908912 
  0.0100150361675     -19.1155754072 
  0.0105069542359     -19.1193548863 
  0.0110229604558     -19.1206768212 
  0.0115643165086     -19.1197010783 
  0.0121324476219     -19.1166319057 
  0.0127272086715     -19.1114007261 
  0.0133519141521     -19.1037557127 
  0.0140087339105     -19.0943314559 
  0.0146955029976      -19.083167514 
  0.0154190886782     -19.0705626917 
  0.0161744433951     -19.0557668259 
   0.016969611562     -19.0377164834 
  0.0178051610176     -19.0163237552 
  0.0186773548039     -18.9925761551 
    0.01959716432     -18.9670281107 
  0.0205564660699     -18.9412139504 
  0.0215684767072     -18.9193382524 
  0.0226289580551     -18.8983739832 
  0.0237371227111     -18.8733503523 
  0.0249048412375     -18.8492581959 
  0.0261258067913     -18.8292041937 
   0.027406560628     -18.8079788779 
  0.0287557002487     -18.7821205448 
  0.0301644535214     -18.7534903013 
  0.0316522452546     -18.7278347445 
  0.0332094803528      -18.709629822 
  0.0348344090551     -18.6884251851 
  0.0365530742431     -18.6591897911 
  0.0383369011729     -18.6318753364 
  0.0402325890013     -18.6123960892 
   0.042207880541     -18.5964783773 
   0.044279307137     -18.5832852664 
  0.0464458787401     -18.5725460044 
  0.0487309166246     -18.5640910433 
  0.0511373816431     -18.5596123999 
  0.0536355586157     -18.5619435223 
  0.0562511198074      -18.565325659 
  0.0590199573109     -18.5684339305 
  0.0619488878912     -18.5695044051 
  0.0649513999202     -18.5693357877 
  0.0681576769544     -18.5696368235 
  0.0715281115291     -18.5694240279 
  0.0750014930766      -18.569512286 
  0.0786932764145     -18.5706296702 
  0.0825424040652     -18.5727619237 
  0.0866224468517     -18.5754252697 
   0.090854251334     -18.5799885226 
  0.0953508570556      -18.584045734 
   0.100029433686     -18.5902919669 
   0.104948536322     -18.5977246229 
   0.110096428764     -18.6041483148 
    0.11551123601     -18.6101523588 
   0.121179274053     -18.6170751177 
   0.127130041975     -18.6241100171 
   0.133382339122     -18.6309646768 
   0.139936753821     -18.6391598645 
   0.146789326817     -18.6484360577 
   0.154008474038     -18.6594650328 
   0.161572365404     -18.6721368008 
   0.169506722634     -18.6871482462 
   0.177843118829     -18.7037759039 
   0.186582338428     -18.7199743525 
   0.195719102423     -18.7413560404 
   0.205333064642     -18.7718884018 
   0.215429820539      -18.807616829 
   0.226008963512     -18.8517727196 
   0.237124158439     -18.8926872082 
   0.248776451237     -18.9099969804 
    0.26095880323     -18.9134076436 
   0.273818551947     -18.9161500593 
   0.287285038108     -18.9185030969 
   0.301345284683     -18.9205805626 
   0.316192970465     -18.9221948253 
   0.331732122636      -18.921671083 
   0.347945070974     -18.9199997633 
   0.365091402596      -18.917323229 
   0.383046717478     -18.9143414776 
    0.40179371291     -18.9147461468 
   0.421493127142     -18.9182796041 
   0.442148539971     -18.9213169569 
   0.463985815112     -18.9245802197 
   0.486788536795     -18.9307526413 
