|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.3318095429 
 0.00954607312885     -19.3397535813 
  0.0100150361675     -19.3458380973 
  0.0105069542359     -19.3496175764 
  0.0110229604558     -19.3509395113 
  0.0115643165086     -19.3499637684 
  0.0121324476219     -19.3468945958 
  0.0127272086715     -19.3416634162 
  0.0133519141521     -19.3340184028 
  0.0140087339105      -19.324594146 
  0.0146955029976     -19.3134302041 
  0.0154190886782     -19.3008253818 
  0.0161744433951      -19.286029516 
   0.016969611562     -19.2679791735 
  0.0178051610176     -19.2465864453 
  0.0186773548039     -19.2228388452 
    0.01959716432     -19.1972908008 
  0.0205564660699     -19.1714766405 
  0.0215684767072     -19.1496009425 
  0.0226289580551     -19.1286366733 
  0.0237371227111     -19.1036130424 
  0.0249048412375      -19.079520886 
  0.0261258067913     -19.0594668838 
   0.027406560628      -19.038241568 
  0.0287557002487     -19.0123832349 
  0.0301644535214     -18.9837529914 
  0.0316522452546     -18.9580974346 
  0.0332094803528     -18.9398925121 
  0.0348344090551     -18.9186878752 
  0.0365530742431     -18.8894524812 
  0.0383369011729     -18.8621380265 
  0.0402325890013     -18.8426587793 
   0.042207880541     -18.8267410674 
   0.044279307137     -18.8135479565 
  0.0464458787401     -18.8028086945 
  0.0487309166246     -18.7943537334 
  0.0511373816431       -18.78987509 
  0.0536355586157     -18.7922062124 
  0.0562511198074     -18.7955883491 
  0.0590199573109     -18.7986966206 
  0.0619488878912     -18.7997670952 
  0.0649513999202     -18.7995984778 
  0.0681576769544     -18.7998995136 
  0.0715281115291      -18.799686718 
  0.0750014930766     -18.7997749761 
  0.0786932764145     -18.8008923603 
  0.0825424040652     -18.8030246137 
  0.0866224468517     -18.8056879598 
   0.090854251334     -18.8102512126 
  0.0953508570556     -18.8143084241 
   0.100029433686      -18.820554657 
   0.104948536322      -18.827987313 
   0.110096428764     -18.8344110049 
    0.11551123601     -18.8404150489 
   0.121179274053     -18.8473378078 
   0.127130041975     -18.8543727071 
   0.133382339122     -18.8612273669 
   0.139936753821     -18.8694225546 
   0.146789326817     -18.8786987478 
   0.154008474038     -18.8897277229 
   0.161572365404     -18.9023994909 
   0.169506722634     -18.9174109363 
   0.177843118829      -18.934038594 
   0.186582338428     -18.9502370426 
   0.195719102423     -18.9716187305 
   0.205333064642     -19.0021510918 
   0.215429820539     -19.0378795191 
   0.226008963512     -19.0820354097 
   0.237124158439     -19.1229498983 
