|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.0473885223 
 0.00954607312885     -19.0553325607 
  0.0100150361675     -19.0614170766 
  0.0105069542359     -19.0651965558 
  0.0110229604558     -19.0665184907 
  0.0115643165086     -19.0655427478 
  0.0121324476219     -19.0624735752 
  0.0127272086715     -19.0572423956 
  0.0133519141521     -19.0495973822 
  0.0140087339105     -19.0401731254 
  0.0146955029976     -19.0290091835 
  0.0154190886782     -19.0164043612 
  0.0161744433951     -19.0016084954 
   0.016969611562     -18.9835581529 
  0.0178051610176     -18.9621654247 
  0.0186773548039     -18.9384178246 
    0.01959716432     -18.9128697802 
  0.0205564660699     -18.8870556199 
  0.0215684767072     -18.8651799219 
  0.0226289580551     -18.8442156527 
  0.0237371227111     -18.8191920218 
  0.0249048412375     -18.7950998654 
  0.0261258067913     -18.7750458632 
   0.027406560628     -18.7538205474 
  0.0287557002487     -18.7279622143 
  0.0301644535214     -18.6993319708 
  0.0316522452546      -18.673676414 
  0.0332094803528     -18.6554714915 
  0.0348344090551     -18.6342668546 
  0.0365530742431     -18.6050314606 
  0.0383369011729     -18.5777170059 
  0.0402325890013     -18.5582377587 
   0.042207880541     -18.5423200467 
   0.044279307137     -18.5291269359 
  0.0464458787401     -18.5183876739 
  0.0487309166246     -18.5099327128 
  0.0511373816431     -18.5054540694 
  0.0536355586157     -18.5077851918 
  0.0562511198074     -18.5111673285 
  0.0590199573109        -18.5142756 
  0.0619488878912     -18.5153460746 
  0.0649513999202     -18.5151774572 
  0.0681576769544      -18.515478493 
  0.0715281115291     -18.5152656974 
  0.0750014930766     -18.5153539555 
  0.0786932764145     -18.5164713397 
  0.0825424040652     -18.5186035931 
  0.0866224468517     -18.5212669392 
   0.090854251334      -18.525830192 
  0.0953508570556     -18.5298874035 
   0.100029433686     -18.5361336364 
   0.104948536322     -18.5435662924 
   0.110096428764     -18.5499899842 
    0.11551123601     -18.5559940283 
   0.121179274053     -18.5629167872 
   0.127130041975     -18.5699516865 
   0.133382339122     -18.5768063463 
   0.139936753821      -18.585001534 
   0.146789326817     -18.5942777272 
   0.154008474038     -18.6053067022 
   0.161572365404     -18.6179784703 
   0.169506722634     -18.6329899157 
   0.177843118829     -18.6496175734 
   0.186582338428      -18.665816022 
   0.195719102423     -18.6871977099 
   0.205333064642     -18.7177300712 
   0.215429820539     -18.7534584985 
   0.226008963512     -18.7976143891 
   0.237124158439     -18.8385288777 
   0.248776451237     -18.8558386499 
    0.26095880323      -18.859249313 
   0.273818551947     -18.8619917288 
   0.287285038108     -18.8643447664 
   0.301345284683     -18.8664222321 
   0.316192970465     -18.8680364948 
   0.331732122636     -18.8675127525 
   0.347945070974     -18.8658414327 
   0.365091402596     -18.8631648985 
   0.383046717478     -18.8601831471 
    0.40179371291     -18.8605878163 
   0.421493127142     -18.8641212736 
   0.442148539971     -18.8671586264 
   0.463985815112     -18.8704218892 
   0.486788536795     -18.8765943108 
   0.510514364639     -18.8857085754 
   0.535724950547     -18.8974053605 
   0.562164183146     -18.9102652465 
   0.589817566913     -18.9216934457 
   0.618647753483      -18.938698487 
   0.649051382393     -18.9618458294 
   0.681067369866     -18.9929517986 
   0.714159985016     -19.0402491283 
   0.749398142171     -19.2555615748 
   0.786253788507     -19.3260272538 
    0.82467705057     -19.4568848798 
   0.828870158431     -19.4816613372 
    0.83292336881     -19.5000023824 
   0.836970288381     -19.5186612427 
   0.841025676388     -19.5376367712 
   0.845073531183     -19.5569600661 
   0.849128888798     -19.5763893168 
   0.853175426116     -19.5951420643 
   0.857228458835     -19.6130856488 
   0.861279479869     -19.6317561189 
   0.865401843191     -19.6511792516 
   0.869580453919     -19.6852850002 
   0.873833129608     -19.7163489755 
   0.878076836462     -19.7445934371 
   0.882327789388     -19.7738953212 
   0.886576972204     -19.8044011432 
   0.888175575907     -19.7845996714 
   0.890832444601     -19.8018566595 
   0.895085004008     -19.8316323383 
   0.899333978979     -19.8594327169 
    0.90357868626     -19.8882260287 
   0.907637590518     -19.9181365406 
   0.912289905574     -19.9756521699 
   0.916748463193     -20.0291822378 
    0.92120797493      -20.078481451 
   0.925666889344     -20.1326994591 
   0.930125505376     -20.1931705545 
   0.934584146158     -20.2616827333 
    0.93703664872     -20.2866573094 
    0.93904315945     -20.3141961719 
   0.943501941199     -20.3815438983 
   0.947960861964     -20.4592434873 
   0.952412354599     -20.5515050719 
   0.953132583338     -20.5707149276 
   0.953845914826     -20.5913061319 
   0.954559314931     -20.6116936217 
   0.955272781563     -20.6318745217 
   0.955986312626     -20.6518339427 
   0.956699906017      -20.671569725 
   0.957412553732     -20.6910700603 
   0.958126263945     -20.7103267007 
   0.958840030135     -20.7293343972 
   0.959532632284     -20.7373845313 
   0.960772926701      -20.768186022 
   0.961993073661     -20.7979710105 
   0.963213269279     -20.8268762638 
   0.964433502118     -20.8548667335 
   0.965653760682     -20.8819093195 
   0.966874033416     -20.9079736466 
   0.968094308707      -20.933032672 
   0.969314574882     -20.9570636706 
   0.970534820211     -20.9800466517 
   0.971708403583     -20.9948128442 
   0.972494446226     -21.0073603205 
   0.973233946237      -21.019518245 
   0.973973530764     -21.0312841624 
   0.974713197627     -21.0426593644 
    0.97545190048     -21.0536441759 
   0.976191723859     -21.0642400018 
   0.976931622988     -21.0744502474 
   0.977670546744     -21.0842776331 
    0.97841058915     -21.0937264699 
   0.979121243022     -21.0976037564 
   0.979627529517     -21.1031670789 
   0.980105877163     -21.1086161031 
   0.980583637013     -21.1139153687 
   0.981061862866     -21.1190665655 
